Date,Price,Open,High,Low,Vol.,Change %
18-Sep-16,8455.00,8825.00,8935.00,8455.00,0.01K,-0.06
11-Sep-16,8955.00,8935.00,9100.00,8915.00,0.66K,-0.01
4-Sep-16,9045.00,8950.00,9100.00,8905.00,1.60K,0.01
28-Aug-16,8945.00,9200.00,9235.00,8930.00,27.27K,-0.03
21-Aug-16,9205.00,9120.00,9335.00,9015.00,63.70K,0.01
14-Aug-16,9110.00,9010.00,9170.00,8970.00,115.63K,0.01
7-Aug-16,9030.00,9030.00,9030.00,9030.00,,0.00
31-Jul-16,9030.00,9030.00,9030.00,9030.00,,0.00
24-Jul-16,9030.00,9045.00,9045.00,9000.00,0.01K,-0.01
17-Jul-16,9145.00,9040.00,9315.00,8940.00,0.03K,-0.02
10-Jul-16,9370.00,9560.00,9560.00,9260.00,0.01K,-0.02
3-Jul-16,9560.00,9560.00,9560.00,9560.00,,0.00
26-Jun-16,9560.00,9850.00,10340.00,9370.00,0.04K,0.02
19-Jun-16,9390.00,9435.00,9465.00,9215.00,0.02K,0.04
12-Jun-16,9015.00,8825.00,8825.00,8825.00,0.00K,0.08
5-Jun-16,8335.00,8335.00,8335.00,8335.00,,0.00
29-May-16,8335.00,8650.00,8805.00,8205.00,0.06K,-0.06
22-May-16,8885.00,8440.00,8940.00,8425.00,0.09K,0.07
15-May-16,8320.00,8540.00,8785.00,8050.00,2.25K,0.00
8-May-16,8300.00,8370.00,8500.00,8200.00,0.69K,-0.01
1-May-16,8425.00,8470.00,8525.00,8310.00,2.68K,-0.02
24-Apr-16,8640.00,8600.00,8995.00,8380.00,27.71K,0.00
17-Apr-16,8670.00,8800.00,8925.00,8560.00,312.56K,-0.15
10-Apr-16,10150.00,10150.00,10150.00,10150.00,,0.00
3-Apr-16,10150.00,10150.00,10150.00,10150.00,,0.00
27-Mar-16,10150.00,9640.00,10190.00,9640.00,0.02K,0.03
20-Mar-16,9840.00,9855.00,9870.00,9355.00,0.06K,0.01
13-Mar-16,9725.00,9000.00,9945.00,9000.00,0.05K,0.14
6-Mar-16,8565.00,8565.00,8565.00,8565.00,,0.00
28-Feb-16,8565.00,8565.00,8565.00,8565.00,,0.00
21-Feb-16,8565.00,8145.00,8985.00,8145.00,0.00K,0.00
14-Feb-16,8550.00,8550.00,8550.00,8550.00,,0.00
31-Jan-16,8550.00,8550.00,8550.00,8550.00,,0.00
24-Jan-16,8550.00,8550.00,8550.00,8550.00,0.01K,0.00
17-Jan-16,8520.00,9000.00,9000.00,8380.00,0.01K,-0.04
10-Jan-16,8860.00,8740.00,8740.00,8400.00,0.08K,0.03
3-Jan-16,8570.00,9080.00,9100.00,8555.00,1.82K,-0.03
27-Dec-15,8820.00,8670.00,8870.00,8625.00,25.33K,0.02
20-Dec-15,8625.00,8410.00,8700.00,8390.00,69.50K,0.03
13-Dec-15,8350.00,8210.00,8425.00,8150.00,66.41K,0.04
6-Dec-15,8000.00,8000.00,8000.00,8000.00,,0.02
29-Nov-15,7880.00,7880.00,7880.00,7880.00,,0.00
22-Nov-15,7880.00,7570.00,8095.00,7570.00,0.05K,-0.02
15-Nov-15,8050.00,8050.00,8050.00,8050.00,0.01K,-0.08
8-Nov-15,8735.00,8700.00,8700.00,8700.00,0.00K,0.00
1-Nov-15,8700.00,8400.00,8895.00,8400.00,0.03K,0.04
25-Oct-15,8400.00,8450.00,8450.00,8400.00,0.00K,-0.02
18-Oct-15,8530.00,8480.00,8580.00,8480.00,0.00K,-0.03
11-Oct-15,8800.00,8800.00,8800.00,8800.00,0.00K,0.00
4-Oct-15,8805.00,8805.00,8805.00,8805.00,,0.00
27-Sep-15,8805.00,8315.00,8805.00,8315.00,0.02K,0.02
20-Sep-15,8640.00,8480.00,8995.00,8480.00,0.03K,-0.02
13-Sep-15,8825.00,8800.00,9165.00,8485.00,1.40K,0.00
6-Sep-15,8840.00,9100.00,9100.00,8210.00,0.79K,-0.03
30-Aug-15,9135.00,9095.00,9200.00,9025.00,4.81K,0.00
23-Aug-15,9105.00,8720.00,9150.00,8465.00,76.30K,0.03
16-Aug-15,8865.00,9220.00,9260.00,8815.00,221.43K,-0.05
9-Aug-15,9345.00,9200.00,9750.00,9200.00,0.02K,0.05
2-Aug-15,8895.00,8895.00,8895.00,8895.00,,0.00
26-Jul-15,8895.00,9175.00,9175.00,8600.00,0.06K,-0.03
19-Jul-15,9175.00,9175.00,9175.00,9175.00,,0.00
12-Jul-15,9175.00,9575.00,9575.00,9095.00,0.01K,-0.06
5-Jul-15,9780.00,9780.00,9780.00,9780.00,,0.00
28-Jun-15,9780.00,9495.00,10080.00,9380.00,0.07K,0.02
21-Jun-15,9600.00,9425.00,9790.00,9335.00,0.03K,0.02
14-Jun-15,9415.00,9405.00,9450.00,9405.00,0.01K,-0.03
7-Jun-15,9700.00,9700.00,9700.00,9700.00,,0.00
31-May-15,9700.00,9700.00,9700.00,9700.00,,-0.01
24-May-15,9750.00,10295.00,10300.00,9590.00,0.07K,-0.05
17-May-15,10240.00,10290.00,10300.00,9755.00,0.09K,-0.05
10-May-15,10750.00,10200.00,10635.00,9800.00,3.14K,0.04
3-May-15,10300.00,10720.00,11005.00,10120.00,4.07K,-0.05
26-Apr-15,10795.00,10450.00,10935.00,10350.00,40.32K,0.05
19-Apr-15,10320.00,10045.00,10400.00,10025.00,160.82K,0.03
12-Apr-15,10025.00,11900.00,11900.00,9820.00,133.03K,-0.14
5-Apr-15,11635.00,11635.00,11635.00,11635.00,0.00K,0.06
29-Mar-15,10980.00,9980.00,10980.00,9915.00,0.02K,0.14
22-Mar-15,9605.00,9630.00,9630.00,9565.00,0.01K,0.01
15-Mar-15,9465.00,9465.00,9465.00,9465.00,0.00K,0.01
8-Mar-15,9395.00,9395.00,9395.00,9395.00,,0.00
1-Mar-15,9395.00,9300.00,9480.00,9300.00,0.02K,0.03
22-Feb-15,9085.00,8980.00,9295.00,8625.00,0.04K,0.00
15-Feb-15,9100.00,9100.00,9100.00,9100.00,,0.15
8-Feb-15,7915.00,7915.00,7915.00,7915.00,,0.00
1-Feb-15,7915.00,7915.00,7915.00,7915.00,0.00K,-0.12
25-Jan-15,8950.00,8950.00,8950.00,8950.00,,0.00
18-Jan-15,8950.00,9250.00,9250.00,8900.00,0.01K,-0.06
11-Jan-15,9540.00,9080.00,9080.00,8640.00,0.70K,0.04
4-Jan-15,9160.00,9615.00,9780.00,9065.00,7.15K,-0.07
28-Dec-14,9815.00,9445.00,9940.00,9335.00,30.67K,0.04
21-Dec-14,9430.00,9620.00,9900.00,9290.00,242.15K,-0.01
14-Dec-14,9520.00,8650.00,9735.00,8620.00,375.53K,-0.07
7-Dec-14,10240.00,10240.00,10240.00,10240.00,,0.00
30-Nov-14,10240.00,10240.00,10240.00,10240.00,,0.00
23-Nov-14,10240.00,10240.00,10240.00,10240.00,,0.00
16-Nov-14,10240.00,10240.00,10240.00,10240.00,,-0.03
9-Nov-14,10535.00,10535.00,10535.00,10535.00,,0.00
2-Nov-14,10535.00,10535.00,10535.00,10535.00,,0.00
26-Oct-14,10535.00,10970.00,10970.00,10535.00,0.00K,-0.04
19-Oct-14,10970.00,10970.00,10970.00,10970.00,,0.05
12-Oct-14,10400.00,10400.00,10400.00,10400.00,0.00K,0.01
5-Oct-14,10340.00,10340.00,10340.00,10340.00,0.00K,-0.06
28-Sep-14,10995.00,10855.00,10995.00,10855.00,0.00K,0.05
21-Sep-14,10440.00,10390.00,10545.00,10390.00,0.01K,-0.03
14-Sep-14,10815.00,10505.00,10800.00,10505.00,1.24K,0.02
7-Sep-14,10600.00,10900.00,10910.00,10500.00,1.73K,-0.03
31-Aug-14,10950.00,10985.00,11165.00,10905.00,4.35K,-0.01
24-Aug-14,11040.00,11350.00,11350.00,10755.00,53.71K,-0.02
17-Aug-14,11320.00,11310.00,11365.00,11190.00,54.11K,0.01
10-Aug-14,11245.00,11160.00,11315.00,11150.00,19.51K,-0.06
3-Aug-14,12000.00,12000.00,12000.00,12000.00,,0.00
27-Jul-14,12000.00,12000.00,12000.00,12000.00,0.01K,0.04
20-Jul-14,11585.00,11415.00,12115.00,11225.00,0.06K,0.01
13-Jul-14,11490.00,11970.00,12380.00,11485.00,0.35K,-0.05
6-Jul-14,12140.00,12140.00,12140.00,12140.00,,0.00
29-Jun-14,12140.00,12140.00,12140.00,12140.00,,0.00
